Date,"Sensor Number (1 = Tomato, 2 = corn)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,species,photo id,
7/12/19,1,G,fly,1,6,2,balck all over,"translucent round wings with black little hairs long beady black antennae, golden legs with black joints, around 3-4mm in size",1,,,k-7-12-1G-fly3,
7/12/19,2,G,fly,2,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/12/19,1,G,spider,7,8,0,"beige all over, darker beige legs","has 1 black mass on the abdomen of the spider in the center of the upper portion of the body, manible is long are beige, around 1cm in size for body and around 8cm in total size",3,,,k-7-12-1G-spider2,
7/12/19,2,G,fly,1,6,2,black yellow and white,"half-sphere head, orange beady eyes, spherical thorax, teardrop abdomen with white blob underneadt, yellow tibias and tarsus",3,,,KK-2019-07-12-2G-fly11,
7/12/19,2,G,beetle,2,6,4,rainbow irridescent black,"large (~2cm), broad pronotum, vertical rows on forewings",3,,,KK-2019-07-12-2G-beetle5,
7/12/19,2,G,beetle,2,6,4,black,disc head and abdomen,3,,,KK-2019-07-12-2G-beetle6,
7/12/19,2,G,fly,2,6,2,black and yellow,abdomen black and yellow striped,3,,,KK-2019-07-12-2G-fly12,
7/12/19,2,G,hemiptera,3,6,4,light brown,leaf-shaped body,3,,,KK-2019-07-12-2G-hemiptera4,
7/12/19,2,P,beetle,1,6,2,"dark brown wings, light brown/orange under belly, light brown legs, black legs","around 8mm in length, glossy smooth looking skin, lined under belly",3,,,,
7/12/19,2,P,beetle,1,6,0,all black,"around 7mm in length, lined under belly, black pinchers, white dots/ hairs on the under belly",3,,,,
7/12/19,2,G,fly,1,6,2,black and yellow,"triangle head with segmented antannae, red eyes laterally, thorax yellow ventrally and black dorsally, abdoment black and yellow striped dorsal and yellow ventral",3,,,KK-2019-07-12-2G-fly13,
7/12/19,2,G,collembola,1,3,0,black,"head and long body, body clearly segmented and tapers to blunt end, brown legs",2?,,,KK-2019-07-12-2G-collembola,
7/12/19,2,G,fly,1,6,2,black,"large (~1cm), spherical head and thorax, small abdomen, legs long with yellow joints and finely segmented tarsus",3,,,KK-2019-07-12-2G-fly14,
7/12/19,2,G,fly,1,6,2,black and white,abdomen clearly segmented with black segements and white joints,3,,,KK-2019-07-12-2G-fly15,
7/12/19,2,G,collembola,2,6,0,bright red and black,egg-shaped body with pointy tail and black stripe mid-sagitally,1,,,KK-2019-07-12-2G-collembola2,
7/12/19,2,G,ant,7,6,0,black and translucent brown,"very small, black head and thorax and translucent brown abdomen, curled antannae",3,,,KK-2019-07-12-2G-ant6,
7/12/19,2,G,fly,1,6,2,black and translucent brown,"black pancake head, oblong thorax, teardrop abdomen",3,,,KK-2019-07-12-2G-fly16,
7/12/19,2,G,beetle,4,6,4,glossy black,vertical rows with divots on forewings,3,,,KK-2019-07-12-2G-beetle,
7/12/19,1,G,fly,11,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/12/19,1,G,fly,1,6,2,"black and yellow striped third section, black mid section, yellow head with large red eyes, yellow legs","eyes take up 80% of head, around 1mm in length, head has one black spot on it in the middle on the top",3,,,,
7/12/19,1,G,tick,1,6,0,"reddish brown body and head, red legs","less than 1mm in length, circular shaped body",2,,,,
7/12/19,2,G,ant,2,6,0,black,"pancake half-spherical head, spherical thorax, teardrop abdomen, segmented antannae",3,,,KK-2019-07-12-2G-ant7,
7/12/19,1,G,fly,1,6,2,"metallic blue body, yellow head and legs, brown eyes,first upper set of wings is tinted yellow and the bottom ones are white","around 2mm in length, the head is triangle shaped,  body comes to a point, the white wings are clear and shinny, the blue protion has kines going across it ",3,,,,
7/12/19,2,G,larvadude,2,6,0,yellow and black,"disc head with moderate length antannae, legs all originating in a clump on thorax, long abdomen with bulge",3,,,KK-2019-07-12-2G-larvadude2,
7/12/19,1,G,little black fly,6,,,,,,,little black fly,,
7/12/19,1,G,fly,2,6,2,"light brown third section, yellow mid section, black eyes, yellow head, clear legs with a black tint","third section has lines going across it, less than 1mm in length",3,,,,
7/12/19,2,G,collembola,1,6,0,brown,"small egg-shaped body, six legs evenly spaced on body, hairy",?,,,KK-2019-07-12-2G-collembola3,
7/19/19,1,G,black larva,23,,,,,,,,k-7-19-1G-larva1,
7/19/19,1,G,fly,2,6,2,"golden head, grey/golden body, golden legs","2 masses on the front of its face, brown eyes (70%), translucent wings, around 2-4mm in length",3,,,k-7-19-1G-fly16,
7/19/19,1,G,beetle/cicada,4,6,2,"yellow head with black dots over it, green/yellow pronotum, black tail, yellow legs","tail is cone shaped, legs have yellow hairs/spikes coming off of them, round triangular head, around 2-4mm in size, yellow translcuent wings",3,,,k-7-19-1G-beetle/cicada1,
7/19/19,1,G,gnat,9,,,,,,,,k-7-19-1G-fly15,
7/19/19,1,G,fly,5,6,2,"brown/black all over, yellow legs","yellow beady antennae, translucent wings, around 1mm in size",3,,,k-7-19-1G-fly14,
7/19/19,1,G,fly,4,6,2,"black all over, black thighs, brown tibia","translucent wings, brown twiggy antennae, around 1mm in length",3,,,k-7-19-1G-fly13,
7/19/19,1,G,orange larva,2,,,,,,,,k-7-19-1G-fly13,
7/19/19,1,G,moth,1,6,4,"black head with orange specs, black body with orange tips, black and orange splotchy wings","black eyes (70%) with a white rim around it, small black antennae, long and skinny body and tail, wingspan is around 2cm and organism is around 1.5cm in size",3,,,k-7-19-1G-moth2,
7/19/19,1,G,fly,1,6,2,"black head, grey body and tail, yellow abdomen, yellow legs","translucent wings, long legs (same length as body), around 1-2mm in size",3,,,k-7-19-1G-fly12,
7/19/19,1,G,fly,3,6,2,"brown head with black splotches, brown body, brown tail with black horizantal stripes, ","red fly eyes (80%), grey translucent wings, small black hairs on head and body, around 3-4mm in size",3,,,k-7-19-1G-fly11,
7/19/19,1,G,dermaptera,1,6,2,"black all over, black legs","black cercus, black beady antennae, horizantal strippes along its abdomen, around 1-2mm in size",3,,,k-7-19-1G-fly10,
7/19/19,1,G,fly,4,6,2,"black head and body, black tail with thin horizantal yellow strippes, yellow abdomen, black thighs with yellow tibia","red fly eyes (75%), 2 small black masses coming off the front of its head, translucent wings, around 2-4mm in size",3,,,k-7-19-1G-fly9,
7/19/19,1,G,fly  (same as row pu733),8,6,2,"black head divided into 3 sections with yellow lines, black body and tail, yellow abdomen, yellow/clear legs ","brown eyes (70%), black skinny antennae, translucent wings, lower portion of legs are segmented, around 4mm in size",3,,,k-7-19-1G-fly8,
7/19/19,1,G,spider,1,8,0,"brown/orange all over, yellow legs","yellow mandible, black eyes, face is on top of body, around 1mm in size",3,,,k-7-19-1G-spider1,
7/19/19,1,G,beetle,1,6,4,"black all over, black legs","circular in shape, black forewings that lie vertically along its back, around 1mm in size",3,,,k-7-19-1G-beetle2,
7/19/19,1,G,fly,1,6,2,"black all over, black legs","translucent wings, around 1-2mm in size",3,,,k-7-19-1G-fly7,
7/19/19,1,G,fly,1,6,2,"black head and body, yellow tail with horizantal black stripes, yellow legs","translucent wings, 2 masses coming off the front of its face, around 2-4mm in length",3,,,k-7-19-1G-fly6,
7/19/19,1,G,fly,1,6,2,"black all over, black tail with thin grey horizantal lines, black legs, grey abdomen","black beady antennae, translucent wings, buldgey tail, 3-4mm in size",3,,,k-7-19-1G-fly5,
7/19/19,1,G,fly,2,6,2,"orange head, body and tail, orange legs","translucent wings, black eyes (75%), small black antennae, around 3mm in size",3,,,k-7-19-1G-fly4,
7/19/19,1,G,beetle,1,6,4,"grey head, black body and tail, yellow legs","2 translucent wings with patterned spots all over them, 2 wings that are just clear (no patterns) small black fly eyes (40%), around 2-4mm in length",3,,,k-7-19-1G-fly3,
7/19/19,1,G,beetle,1,6,2,"black all over, brown legs","black beady antennae, distinct ridges along its tail, around 7-8mm in size",3,,,k-7-19-1G-beetle1,
7/19/19,1,G,moth,1,6,2,"white and beige all over, white legs","wings are white and beige with small black specs, thin beige and white antennae, black eyes, aorund 1-1.5cm in size",3,,,k-7-19-1G-moth1,
7/19/19,1,G,fly,2,6,2,"black all over, grey legs","less than 1mm in size, translucent wings, black beady antennae that increase in width going up the antennae, ",3,,,k-7-19-1G-fly2,
7/19/19,1,G,fly,1,6,2,"black all over, yellow legs","grey translucent wings, yellow antennae, around 5mm in size",3,,,K-7-19-1G-fly1,
7/19/19,2,G,flower fly,18,,,,,,,flower fly,,
7/19/19,2,G,beetle/cicada,7,6,2,"yellow head with black dots over it, green/yellow pronotum, black tail, yellow legs","tail is cone shaped, legs have yellow hairs/spikes coming off of them, round triangular head, around 2-4mm in size, yellow translcuent wings",3,,,,
7/19/19,2,G,fly,9,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/19/19,2,G,classic black fly,15,,,,,,,classic black fly,,
7/19/19,2,G,gnat,7,,,,,,,,k-7-19-1G-fly15,
7/19/19,2,G,beetle,1,6,4,"black all over, black legs","circular in shape, black forewings that lie vertically along its back, around 1mm in size",3,,,k-7-19-1G-beetle2,
7/19/19,2,G,fly,1,6,2,"light/ dark brown and clear wings, grey, white and brown body, brown head, yellow legs","triangular head, striped body and body comes to a point, glossy skin, dark brown spots on wing",3,,,,
7/19/19,2,G,white larva,2,,,,,,,white larva,,
7/19/19,2,G,fly,1,6,2,metallic black,"half-spherical head, spherical thorax, blunt teardrop abdomen, wings white and black striped",3,,,KK-2019-07-12-2G-fly7,
7/19/19,2,G,insect,1,8,0,neon orange ,"less than 1mm in length, towards the tail the orange gets darker and there are a few red spots",2,,,,
7/19/19,2,G,yellow larva,1,,,,,,,yellow larva,,
7/26/19,1,F,flower fly,1,,,,,,,flower fly,,
7/26/19,1,F,fly,5,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/26/19,1,F,fly,2,6,2,"clear wings, clear legs with a little bit of a yellow tint, black and yellow body, yellow/brown head","black stripes on body are very thick and the yellow stripes are very thin\, top of head is yellow, face is brown, around 2mm in length ",2,,,,
7/26/19,1,F,little black fly,6,,,,,,,little black fly,,
7/26/19,1,F,fly,1,6,2,"black body, yellow legs","antenna are half yellow and then merge into blck, less than 1mm in length, glossy skin",3,,,,
7/26/19,1,F,fly,1,6,2,black  ,"less than 1mm in length, thick thighs, tips of legs are brown",3,,,,
7/26/19,1,F,fly,2,6,2,"beige head and body, beige and black stripped tail, translucent legs","red fly eyes (70%), translucent wigns, 2 masses on the front of its head, 3-4mm in size",3,,,k-7-12-1G-fly9,
7/26/19,1,F,fly,9,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/26/19,1,F,beetle/cicada,3,6,2,"yellow head with black dots over it, green/yellow pronotum, black tail, yellow legs","tail is cone shaped, legs have yellow hairs/spikes coming off of them, round triangular head, around 2-4mm in size, yellow translcuent wings",3,,,k-7-19-1G-beetle/cicada1,
7/26/19,1,F,fly,2,6,2,"black body and head, black legs","translucent wings, black fly eyes, around 2mm in size",3,,,,
7/26/19,1,F,yellow larva,1,,,,,,,yellow larva,,
7/26/19,1,F,fly,4,6,2,"light brown third section, yellow mid section, black eyes, yellow head, clear legs with a black tint","third section has lines going across it, less than 1mm in length",3,,,,
7/26/19,1,F,fly,1,6,2,balck all over,"translucent round wings with black little hairs long beady black antennae, golden legs with black joints, around 3-4mm in size",1,,,k-7-12-1G-fly3,
7/26/19,1,G,fly,4,6,2,"beige head and body, beige and black stripped tail, translucent legs","red fly eyes (70%), translucent wigns, 2 masses on the front of its head, 3-4mm in size",3,,,k-7-12-1G-fly9,
7/26/19,1,G,flower fly,1,,,,,,,flower fly,,
7/26/19,1,G,fly,14,6,2,black and yellow,"hammerhead with red eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs",3,,,KK-2019-07-12-2G-fly10,
7/26/19,1,G,beetle,2,6,2,"gold and brown wings,gold and black legs, gold head","very shinny squence kind ofl looking pattern on wings, around 1cm in length",2,,,,
7/26/19,1,G,cricket?,2,6,0,"blackish tan body, tan and grey legs, black eyes","around 1cm in length, has very thick thighs on back legs, top of back is black and then around that the body is tan  ",2,,,,
7/26/19,1,G,fly,2,6,2,"metallic blue body, yellow head and legs, brown eyes,first upper set of wings is tinted yellow and the bottom ones are white","around 2mm in length, the head is triangle shaped,  body comes to a point, the white wings are clear and shinny, the blue protion has kines going across it ",3,,,,
7/26/19,1,G,spider,1,8,0,"dark red body, light red legs,black looking feelers (palps) ","around 2mm in length, it feelers are somewhat cicular",2,,,,
7/26/19,1,G,beetle/cicada,2,6,4,"clear wings and legs,clear translucent body and head","head has a brownish tint, red/brown eyes,  2-3mm in length, has a curved face ",3,,,,
7/26/19,1,G,fly,6,6,2,black  ,"less than 1mm in length, thick thighs, tips of legs are brown",3,,,,
7/26/19,1,G,beetle,1,6,2,"dark brown/black body, light brown/yellow","6-7mm in length, antenna are half brown half yellow, lined underbelly",2,,,,
7/26/19,1,G,fly,2,6,2,black and translucent brown,"black pancake head, oblong thorax, teardrop abdomen",3,,,KK-2019-07-12-2G-fly16,
7/26/19,1,G,fly,2,6,2,"yellow body and head, brown mid section, light brown legs, black eyes,translucent black wings","around 2-3mm in length, very long legs striped third section and smooth mid section",3,,,,
7/26/19,1,G,fly,7,6,2,"clear wings, yellow legs, black body and head","around 2mm in length,top of the antenna is beaded",3,,,,
7/26/19,2,F,fly,1,6,2,black  ,"less than 1mm in length, thick thighs, tips of legs are brown",3,,,,
7/26/19,2,F,fly,1,6,2,"metallic blue body, yellow head and legs, brown eyes,first upper set of wings is tinted yellow and the bottom ones are white","around 2mm in length, the head is triangle shaped,  body comes to a point, the white wings are clear and shinny, the blue protion has kines going across it ",3,,,,
7/26/19,2,F,fly,2,6,2,"black head, body and legs","big black fly eyes (90%) that come out of the head to the side, small grey wings, tail has distinct ridges, around 8mm in size",3,,,,
7/26/19,2,F,beetle,1,6,0,"reddish black body and head, brownish red legs","hard like shell looking skin, around 3-4mm in length, has little pinchers, has very short white hairs on body",3,,,,
7/19/19,1,P,beetle,1,6,2,"dark brown wings, light brown/orange under belly, light brown legs, black legs","around 8mm in length, glossy smooth looking skin, lined under belly",3,,,,
7/19/19,2,P,fly,1,6,2,"black head and body, black upper side tail with a yellow underbelly","black hairs all over head and body, red eyes, 2 small black antennae, translucent wings, around 5-7mm in size",3,,,k-7-19-2P-fly2,
7/19/19,1,P,larva?,3,0,0,white body with the face being black and the tail being brown,2-3mm in length,1,,,,
7/19/19,2,P,fly,1,6,2,"grey head, black body, black upper side tail with grey underbelly, grey legs","translucent wings, black eyes, around 1-2mm in size, tail is round",3,,,k-7-19-2P-fly1,
7/26/19,2,P,beetle,1,6,2,"shiny dark brown, milky white under the wings, nearly white legs but brown at the joins","2cm long, small hairs and spines on the legs, short beady antennae, sort of a white bean shaped protrusion on the front of thorax",3,,,IMG_2342.jpg,
7/26/19,2,P,beetle,1,6,2,shiny dark brown ,"~1cm, little pin pricks on its back, clear wigs",3,,,IMG_2343.jpg,
8/2/19,1,G,beetle/cicada,3,6,2,"metallic blue body, yellow head and legs, brown eyes,first upper set of wings is tinted yellow and the bottom ones are white","around 2mm in length, the head is triangle shaped,  body comes to a point, the white wings are clear and shinny, the blue protion has kines going across it ",3,,,,
8/2/19,1,G,moth,1,6,4,"black head with orange specs, black body with orange tips, black and orange splotchy wings","black eyes (70%) with a white rim around it, small black antennae, long and skinny body and tail, wingspan is around 2cm and organism is around 1.5cm in size",3,,,k-7-19-1G-moth2,
8/2/19,1,G,beetle,2,6,2,"gold and brown wings,gold and black legs, gold head","very shinny squence kind ofl looking pattern on wings, around 1cm in length",2,,,,
8/2/19,1,G,beetle/cicada,1,6,4,"clear wings with brown spots, grey/ beige/black body and head","around 2-3mm in length, lots of brown lines on legs, stripes all over body",2,,,,
8/2/19,1,G,beetle,1,6,0,"brown and black third section, black mid section/head, brown legs","around 5-6mm in length, black spots all over back (more on the lower back), weird shaped mid section",3,,,,
8/2/19,1,G,fly,2,6,2,"black third section, yellow mid section and head, yellow legs, red eyes","eyes take up most of head, few brown lines going over mid section along with a few black hairs, around 1-2 mm in length",3,,,,
8/2/19,1,G,fly,5,6,2,"light brown third section, yellow mid section, black eyes, yellow head, clear legs with a black tint","third section has lines going across it, less than 1mm in length",3,,,,
8/2/19,1,G,beetle/cicada,3,6,4,"clear wings and legs,clear translucent body and head","head has a brownish tint, red/brown eyes,  2-3mm in length, has a curved face ",3,,,,
8/2/19,1,G,fly,1,6,2,balck all over,"translucent round wings with black little hairs long beady black antennae, golden legs with black joints, around 3-4mm in size",1,,,k-7-12-1G-fly3,
8/2/19,1,G,fly,2,6,2,black  ,"less than 1mm in length, thick thighs, tips of legs are brown",3,,,,
8/2/19,1,G,beetle,1,6,2,"black all over, brown legs","black beady antennae, distinct ridges along its tail, around 7-8mm in size",3,,,k-7-19-1G-beetle1,
8/2/19,1,F,fly,4,6,2,"black head, orange head, grey legs","long grey beady antennae, translucent wings, around 1-3mm in size, buldgey tail",3,,,KK-8-2-1F-fly7,
8/2/19,1,F,beetle (same as row 235),1,6,2,"black all over, brown legs","black beady antennae, distinct ridges along its tail, around 7-8mm in size",3,,,k-7-19-1G-beetle1,
8/2/19,1,F,fly,1,6-8? (unsure),2,"beige head, biege and grey body, biege tail that gets darker as it goes along, beige legs","translucent wings, 2 small skinny beige antennae coming off the front of its face, balck fly eyes (95%), around 1cm in size",3,,,,KK-8-2-1F-fly6
8/2/19,1,F,beetle/cicada (same as row 225),3,6,2,"metallic blue body, yellow head and legs, brown eyes,first upper set of wings is tinted yellow and the bottom ones are white","around 2mm in length, the head is triangle shaped,  body comes to a point, the white wings are clear and shinny, the blue protion has kines going across it ",3,,,,
8/2/19,1,F,orange larva,5,,,,,,,,,
8/2/19,1,F,fly,1,6,2,"balck head, grey body and tail, grey legs and grey beady antennae","translucent wings, black eyes (60%), around 1mm in size",3,,,,KK-8-2-1F-fly5
8/2/19,1,F,fly,5,6,2,black and yellow,"hammerhead with black eyes lateral, yellow head with black splotch in middle, thorax black dorsally and yellow ventrally, translucent yellow legs, around 3-5mm in size",3,,,,KK-8-2-1F-fly4
8/2/19,1,F,fly,2,6,2,"black head, grey body and tail, yellow translucent legs","translucent wings, long skinny cone like tail, around 1-2mm in length",3,,,,KK-8-2-1F-fly3
8/2/19,1,F,spider,1,8,0,"black head and body, tail is mostly balck with brown and white splotches, brown and black splotchy legs","black eyes, thick long brown mandible,  white hairs all over body and head, balck hairs on legs, aorund 5mm in size",2,,,,KK-8-2-1F-spider1
8/2/19,1,F,fly,1,6,2,"balck all over, black legs with grey tibia","translucent wings, black beady atennae coming off the front of its face, buldgey body, 2-4mm in size",3,,,,KK-8-2-1F-fly2
8/2/19,1,F,fly,2,6,2,"balck all over, yellow front legs, grey back legs","grey trasnlucent wings, black hairs all over head, thick back thighs, 2-3mm in size",2,,,,KK-8-2-1F-fly1
8/2/19,1,F,flower fly,1,,,,,,,flower fly,,
8/2/19,1,F,insect,1,6,0,"grey all over, grey legs","tail is cone like with ridges, black eyes?, around 2-3mm in size",2,,,,KK-8-2-1F-insect
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,
8/2/19,,,,,,,,,,,,,